ID,code,text
9d0260d3-dca2-4fda-8cbe-54c21ec819fc,PLN,Polish Zloty
1a79cf76-b642-4fc8-8565-0ad5b92bb52f,PYG,Parag. Guarani
12adaa37-57a7-4dbc-a2e6-4c2ef3b66924,QAR,Qatar Rial
14b2c638-c57f-4e54-8e27-369594144d4b,RON,Romanian Leu
e7771e96-dd61-49e1-ae38-b2cb5ab3044a,RSD,Serbian Dinar
ab40444b-d57e-46a5-900f-57efb4b7fb0a,RUB,Russian Ruble
1ac0f361-b142-4f89-b30e-293f57c05c15,RWF,Rwandan Franc
66bdb195-ca01-4e74-b439-bf33b9cea2ef,SAR,Saudi Riyal
16909931-2957-499d-ac69-8dc10cf784a7,SBD,Sol.Isl. Dollar
5fb77fa9-dc8e-45fe-8307-ab01d912cede,SCR,Seychel. Rupee
f4f76f19-8537-4eaa-8afb-20c436824514,SDG,Sudanese Pound
3384aaf0-15cb-4fb8-b949-542e43053a5b,SEK,Swedish Krona
2840a83d-f94c-4395-aa8d-d8a4f57707af,SGD,Sing. Dollar
d33dbcee-eafd-4788-8e16-a9a0b45b63f1,SHP,St.Helena Pound
076f6231-2ca9-4848-97c7-bb57af49beb9,SLE,Leone
4b2c20f1-d320-43ed-97bc-b1fd24c5b855,SOS,Soma. Shilling
43cb43e6-d946-4369-9a61-853cbbe31a67,SRD,Surinam Dollar
26f7984b-f378-4b67-a741-06b3d5d38573,SSP,S. Sudan Pound
43ad7d3c-ab70-4925-87d4-afc81edf8aab,STN,Sao Tome Dobra
4e6e39ce-04af-4b43-8a3e-515b4d797f77,SVC,El Salv. Colon
9d988a04-cfb0-4ef1-b057-227f5bce061d,SYP,Syrian Pound
e8950ef7-0dfb-4cc5-80a0-b1a62776bfed,SZL,Swaz. Lilangeni
761fd8fb-0489-46a8-b62b-43954f18a8c0,THB,Baht
742cfcb2-9698-4026-8006-5ba2e0e9b357,TJS,Tajik. Somoni
e1626774-3c04-4776-aaea-c6893cb9ddf8,TMT,Turkmen. Manat
f8500e8c-e459-4ebb-a5b7-d2f21c0d9575,TND,Tunisian Dinar
255c28b9-f668-4a72-8e0d-30060e8ec12a,TOP,Tongan Pa'anga
ced417b9-b46e-4b8d-8171-2d5db0f26881,TRY,Turkish Lira
38b24b65-79dd-4c6d-9432-5a82cc418b93,TTD,T. + T. Dollar
608a442d-99dd-4254-8bb6-dc4792f1df34,TWD,Taiwan Dollar
7ca0d78e-8378-48de-a694-a3a94a28fd5a,TZS,Tanz. Shilling
fb1aafcc-afc0-478c-bf21-cd688105c4fb,UAH,Hryvnia
e0900e62-aec3-4622-b547-4b4f7d015af6,UGX,Ugan. Shilling
cb6beffa-ffd4-4827-9421-76939351a64d,USD,US Dollar
c37380d7-29b4-4ec4-b0be-e360c837a94c,UYU,Uruguayan Peso
a32d2ef5-30e7-4fa5-a965-fa4454718c61,UZS,Uzbekistan Som
aedd1de3-8562-4d5a-91fe-2fa89497242a,VEF,Venez. Bolivar
985c4748-5c3a-4f54-997d-53d28929c858,VES,Bolivar Sober.
e5ed6d79-c8e1-49a8-afb0-fd4cb1203b75,VND,Vietnamese Dong
9c31e22d-82ab-4343-af94-cc82df8e7ad8,VUV,Vanuatu Vatu
2beca73e-6ce7-4383-8dd9-27d9378da1d8,WST,Samoan Tala
ad2a36d9-9319-49f3-843f-dbd05f6fc1ec,XAF,CFA Franc BEAC
dfb62d6b-d7d1-4445-8556-8d137dd80bf9,XCD,E. Carrib. Doll
5a57c126-3ac2-4424-9f8d-2f95a01ac084,XOF,CFA Franc BCEAO
44e97b69-31bc-412d-9df2-756e3c2317f4,XPF,CFP Franc
23549e8e-cc6c-4928-941b-1cbfcf29e899,YER,Yemeni Ryal
8363ab18-6d76-4ecb-ba00-0418335bf1a8,ZAR,S. Africa Rand
5dc10282-73aa-4a61-8f0d-9ce02c2afd31,ZMW,Zambian Kwacha
ea77e00e-fc40-42db-b194-5628e524edb0,ZWL,Zimbabwe Dollar
